SI_NO,Date,Product Type,Product,Type,Profit,Margin,Sales,COGS,Total Expenses,Marketing,Expected Profit,Expected COGS,Expected Margin,Expected Sales,State,Market,Market Size
741,2010-03-01,Coffee,Decaf Irish Cream,Decaf,47,72,121,49,25,13,70,60,90,150,Louisiana,South,Small Market
742,2010-04-01,Coffee,Decaf Irish Cream,Decaf,48,72,121,49,24,13,70,60,90,150,Louisiana,South,Small Market
743,2010-05-01,Coffee,Decaf Irish Cream,Decaf,52,77,130,53,25,14,80,60,100,160,Louisiana,South,Small Market
744,2010-06-01,Coffee,Decaf Irish Cream,Decaf,58,85,144,59,27,16,90,70,110,180,Louisiana,South,Small Market
745,2010-07-01,Coffee,Decaf Irish Cream,Decaf,58,85,144,59,27,16,90,70,110,180,Louisiana,South,Small Market
746,2011-01-01,Coffee,Decaf Irish Cream,Decaf,44,48,91,33,21,9,50,40,60,100,Louisiana,South,Small Market
747,2010-03-01,Espresso,Caffe Mocha,Regular,63,105,167,62,42,19,70,50,90,140,Louisiana,South,Small Market
748,2011-04-01,Espresso,Caffe Mocha,Regular,67,84,142,49,39,15,50,40,70,110,Louisiana,South,Small Market
749,2011-07-01,Espresso,Caffe Mocha,Regular,41,65,103,39,33,12,30,30,50,80,Louisiana,South,Small Market
750,2011-08-01,Espresso,Caffe Mocha,Regular,57,79,125,47,35,14,40,40,60,100,Louisiana,South,Small Market
751,2011-11-01,Espresso,Caffe Mocha,Regular,73,88,150,53,39,16,30,40,60,100,Louisiana,South,Small Market
752,2010-05-01,Espresso,Decaf Espresso,Decaf,28,65,110,45,37,14,40,30,60,90,Louisiana,South,Small Market
753,2010-06-01,Espresso,Decaf Espresso,Decaf,23,59,99,40,36,12,30,30,50,80,Louisiana,South,Small Market
754,2010-10-01,Espresso,Decaf Espresso,Decaf,30,67,113,46,37,14,40,20,40,60,Louisiana,South,Small Market
755,2011-10-01,Espresso,Decaf Espresso,Decaf,45,67,120,46,37,14,40,20,40,60,Louisiana,South,Small Market
756,2011-12-01,Espresso,Decaf Espresso,Decaf,40,63,113,43,36,13,20,30,50,80,Louisiana,South,Small Market
757,2010-07-01,Herbal Tea,Chamomile,Decaf,32,60,106,46,28,15,40,40,60,100,Louisiana,South,Small Market
758,2010-09-01,Herbal Tea,Chamomile,Decaf,55,90,159,69,35,22,60,60,90,150,Louisiana,South,Small Market
759,2011-01-01,Herbal Tea,Chamomile,Decaf,55,63,125,49,29,16,40,40,60,100,Louisiana,South,Small Market
760,2011-02-01,Herbal Tea,Chamomile,Decaf,52,63,119,49,28,16,40,40,60,100,Louisiana,South,Small Market
761,2011-03-01,Herbal Tea,Chamomile,Decaf,50,62,117,48,28,15,40,40,60,100,Louisiana,South,Small Market
762,2011-10-01,Herbal Tea,Chamomile,Decaf,129,133,251,103,46,33,110,80,130,210,Louisiana,South,Small Market
763,2010-03-01,Herbal Tea,Lemon,Decaf,39,104,189,85,65,32,40,80,100,180,Louisiana,South,Small Market
764,2010-06-01,Herbal Tea,Lemon,Decaf,32,93,169,76,61,28,40,70,90,160,Louisiana,South,Small Market
765,2010-07-01,Herbal Tea,Lemon,Decaf,31,93,169,76,62,28,40,70,90,160,Louisiana,South,Small Market
766,2011-01-01,Herbal Tea,Lemon,Decaf,62,105,213,85,68,32,40,80,100,180,Louisiana,South,Small Market
767,2011-06-01,Herbal Tea,Lemon,Decaf,44,93,167,76,57,28,40,70,90,160,Louisiana,South,Small Market
768,2011-12-01,Herbal Tea,Lemon,Decaf,39,85,163,68,59,25,30,60,80,140,Louisiana,South,Small Market
769,2010-02-01,Espresso,Caffe Latte,Regular,2,90,155,65,88,58,10,50,80,130,Louisiana,South,Small Market
770,2010-03-01,Espresso,Caffe Latte,Regular,1,87,150,63,86,57,0,50,70,120,Louisiana,South,Small Market
771,2010-06-01,Espresso,Caffe Latte,Regular,-3,75,128,53,78,48,10,40,70,110,Louisiana,South,Small Market
772,2010-09-01,Espresso,Caffe Latte,Regular,2,87,149,62,85,56,0,50,70,120,Louisiana,South,Small Market
773,2010-10-01,Espresso,Caffe Latte,Regular,1,84,144,60,83,54,10,30,60,90,Louisiana,South,Small Market
774,2011-02-01,Espresso,Caffe Latte,Regular,3,90,165,65,88,58,10,50,80,130,Louisiana,South,Small Market
775,2011-09-01,Espresso,Caffe Latte,Regular,3,87,159,62,85,56,0,50,70,120,Louisiana,South,Small Market
776,2011-11-01,Espresso,Caffe Latte,Regular,1,86,157,61,85,55,10,40,70,110,Louisiana,South,Small Market
777,2010-01-01,Coffee,Amaretto,Regular,11,27,45,18,16,5,20,10,30,40,Iowa,Central,Small Market
778,2010-07-01,Coffee,Amaretto,Regular,17,36,61,25,19,7,30,20,40,60,Iowa,Central,Small Market
779,2010-09-01,Coffee,Amaretto,Regular,13,29,48,19,16,5,20,20,30,50,Iowa,Central,Small Market
780,2011-02-01,Coffee,Amaretto,Regular,15,27,48,18,17,5,20,10,30,40,Iowa,Central,Small Market
781,2011-05-01,Coffee,Amaretto,Regular,17,29,49,20,16,5,20,20,30,50,Iowa,Central,Small Market
782,2011-06-01,Coffee,Amaretto,Regular,25,35,57,23,16,6,30,20,40,60,Iowa,Central,Small Market
783,2011-08-01,Coffee,Amaretto,Regular,26,38,62,25,18,7,30,20,40,60,Iowa,Central,Small Market
784,2011-09-01,Coffee,Amaretto,Regular,19,29,51,19,16,5,20,20,30,50,Iowa,Central,Small Market
785,2010-02-01,Coffee,Columbian,Regular,6,35,63,28,29,8,20,20,40,60,Iowa,Central,Small Market
786,2010-09-01,Coffee,Columbian,Regular,7,39,72,33,32,10,20,30,40,70,Iowa,Central,Small Market
787,2011-04-01,Coffee,Columbian,Regular,4,33,65,28,30,8,20,20,40,60,Iowa,Central,Small Market
788,2011-07-01,Coffee,Columbian,Regular,12,41,74,34,30,10,20,30,40,70,Iowa,Central,Small Market
789,2011-08-01,Coffee,Columbian,Regular,21,49,89,41,32,12,20,40,50,90,Iowa,Central,Small Market
790,2010-04-01,Coffee,Decaf Irish Cream,Decaf,9,28,49,21,19,6,20,20,30,50,Iowa,Central,Small Market
791,2010-12-01,Coffee,Decaf Irish Cream,Decaf,-1,14,24,10,15,3,10,0,20,20,Iowa,Central,Small Market
792,2011-03-01,Coffee,Decaf Irish Cream,Decaf,18,31,58,23,19,7,20,20,30,50,Iowa,Central,Small Market
793,2011-09-01,Coffee,Decaf Irish Cream,Decaf,4,20,37,15,17,4,10,10,20,30,Iowa,Central,Small Market
794,2011-11-01,Coffee,Decaf Irish Cream,Decaf,-4,13,25,10,16,3,10,0,20,20,Iowa,Central,Small Market
795,2010-02-01,Espresso,Caffe Mocha,Regular,11,28,47,19,17,5,20,20,30,50,Iowa,Central,Small Market
796,2010-05-01,Espresso,Caffe Mocha,Regular,12,29,49,20,17,5,20,20,30,50,Iowa,Central,Small Market
797,2010-10-01,Espresso,Caffe Mocha,Regular,18,35,58,23,17,6,50,20,50,70,Iowa,Central,Small Market
798,2011-09-01,Espresso,Caffe Mocha,Regular,27,35,62,23,17,6,30,20,40,60,Iowa,Central,Small Market
799,2010-06-01,Espresso,Decaf Espresso,Decaf,31,43,43,0,12,0,40,0,50,50,Iowa,Central,Small Market
800,2010-09-01,Espresso,Decaf Espresso,Decaf,32,43,43,0,11,0,40,0,50,50,Iowa,Central,Small Market
801,2011-02-01,Espresso,Decaf Espresso,Decaf,47,43,46,0,11,0,40,0,50,50,Iowa,Central,Small Market
802,2010-07-01,Herbal Tea,Chamomile,Decaf,258,387,678,291,129,96,240,250,340,590,Iowa,Central,Small Market
803,2011-05-01,Herbal Tea,Chamomile,Decaf,319,349,607,263,110,86,220,220,310,530,Iowa,Central,Small Market
804,2011-09-01,Herbal Tea,Chamomile,Decaf,326,336,628,253,116,83,210,210,300,510,Iowa,Central,Small Market
805,2011-10-01,Herbal Tea,Chamomile,Decaf,332,341,637,257,117,84,210,200,280,480,Iowa,Central,Small Market
806,2010-03-01,Herbal Tea,Lemon,Decaf,102,158,267,109,56,34,110,90,140,230,Iowa,Central,Small Market
807,2010-04-01,Herbal Tea,Lemon,Decaf,115,178,301,123,63,39,120,100,160,260,Iowa,Central,Small Market
808,2010-06-01,Herbal Tea,Lemon,Decaf,136,204,345,141,68,45,140,120,180,300,Iowa,Central,Small Market
809,2010-07-01,Herbal Tea,Lemon,Decaf,150,222,376,154,72,49,150,130,200,330,Iowa,Central,Small Market
810,2010-12-01,Herbal Tea,Lemon,Decaf,123,185,312,127,62,40,120,120,170,290,Iowa,Central,Small Market
811,2011-04-01,Herbal Tea,Lemon,Decaf,171,178,321,123,63,39,120,100,160,260,Iowa,Central,Small Market
812,2010-04-01,Tea,Darjeeling,Regular,148,239,478,239,91,66,140,200,220,420,Iowa,Central,Small Market
813,2011-01-01,Tea,Darjeeling,Regular,220,228,510,228,91,63,140,190,210,400,Iowa,Central,Small Market
814,2011-05-01,Tea,Darjeeling,Regular,228,261,516,260,89,72,150,220,230,450,Iowa,Central,Small Market
815,2011-08-01,Tea,Darjeeling,Regular,230,266,527,266,92,74,150,220,240,460,Iowa,Central,Small Market
816,2010-01-01,Tea,Earl Grey,Regular,175,301,546,245,126,93,160,210,270,480,Iowa,Central,Small Market
817,2010-07-01,Tea,Earl Grey,Regular,197,332,602,270,135,102,170,230,290,520,Iowa,Central,Small Market
818,2010-11-01,Tea,Earl Grey,Regular,173,300,545,245,127,93,130,200,250,450,Iowa,Central,Small Market
819,2010-03-01,Coffee,Decaf Irish Cream,Decaf,74,125,214,89,51,27,80,80,120,200,Florida,East,Major Market
820,2010-05-01,Coffee,Decaf Irish Cream,Decaf,100,159,273,114,59,35,100,100,150,250,Florida,East,Major Market
821,2010-08-01,Coffee,Decaf Irish Cream,Decaf,102,161,277,116,59,35,100,110,150,260,Florida,East,Major Market
822,2011-09-01,Coffee,Decaf Irish Cream,Decaf,120,134,245,96,53,29,80,90,120,210,Florida,East,Major Market
823,2011-05-01,Tea,Green Tea,Regular,72,77,129,53,23,14,70,50,90,140,Florida,East,Major Market
824,2011-12-01,Tea,Green Tea,Regular,45,51,91,34,21,9,40,30,50,80,Florida,East,Major Market
825,2011-03-01,Espresso,Caffe Mocha,Regular,25,132,242,95,115,86,30,90,130,220,Florida,East,Major Market
826,2010-06-01,Espresso,Decaf Espresso,Decaf,63,121,212,91,58,30,80,80,120,200,Florida,East,Major Market
827,2011-10-01,Espresso,Decaf Espresso,Decaf,89,116,215,86,56,28,90,70,110,180,Florida,East,Major Market
828,2011-04-01,Herbal Tea,Chamomile,Decaf,46,58,110,45,27,14,30,30,50,80,Florida,East,Major Market
829,2011-01-01,Herbal Tea,Mint,Decaf,61,81,168,69,44,21,40,50,60,110,Florida,East,Major Market
830,2011-12-01,Tea,Darjeeling,Regular,39,45,80,30,19,8,30,30,40,70,Florida,East,Major Market
831,2010-03-01,Espresso,Caffe Mocha,Regular,27,173,298,125,146,113,30,120,160,280,California,West,Major Market
832,2011-03-01,Espresso,Caffe Mocha,Regular,40,173,318,125,146,113,30,120,160,280,California,West,Major Market
833,2011-03-01,Espresso,Decaf Espresso,Decaf,313,324,604,243,113,80,210,230,310,540,California,West,Major Market
834,2011-03-01,Herbal Tea,Lemon,Decaf,245,253,498,214,88,66,170,180,230,410,California,West,Major Market
835,2011-11-01,Herbal Tea,Mint,Decaf,40,52,98,40,25,13,30,30,50,80,California,West,Major Market
836,2011-12-01,Herbal Tea,Mint,Decaf,43,56,106,43,27,14,30,40,50,90,California,West,Major Market
837,2011-12-01,Tea,Darjeeling,Regular,199,179,322,123,45,34,110,90,130,220,California,West,Major Market
838,2011-01-01,Espresso,Caffe Latte,Regular,218,228,510,228,92,63,150,210,220,430,California,West,Major Market
839,2010-01-01,Coffee,Decaf Irish Cream,Decaf,68,107,190,83,39,27,100,100,130,230,Texas,South,Major Market
840,2010-07-01,Coffee,Decaf Irish Cream,Decaf,71,112,199,87,41,28,110,100,140,240,Texas,South,Major Market
841,2010-09-01,Coffee,Decaf Irish Cream,Decaf,42,74,132,58,32,19,70,70,90,160,Texas,South,Major Market
842,2010-01-01,Espresso,Caffe Mocha,Regular,95,130,219,89,35,24,90,70,110,180,Texas,South,Major Market
843,2010-04-01,Espresso,Caffe Mocha,Regular,96,132,223,91,36,25,100,70,120,190,Texas,South,Major Market
844,2011-09-01,Espresso,Decaf Espresso,Decaf,126,118,212,81,33,22,90,60,110,170,Texas,South,Major Market
845,2011-10-01,Herbal Tea,Chamomile,Decaf,39,71,131,52,45,17,70,30,80,110,Texas,South,Major Market
846,2011-12-01,Herbal Tea,Chamomile,Decaf,42,73,135,54,45,17,30,50,60,110,Texas,South,Major Market
847,2010-04-01,Herbal Tea,Lemon,Decaf,27,64,107,43,37,13,30,40,60,100,Texas,South,Major Market
848,2011-02-01,Herbal Tea,Lemon,Decaf,56,76,136,52,38,16,50,40,80,120,Texas,South,Major Market
849,2010-03-01,Espresso,Caffe Latte,Regular,54,108,180,72,54,23,50,60,90,150,Texas,South,Major Market
850,2010-05-01,Coffee,Amaretto,Regular,27,71,123,52,44,17,40,50,70,120,Ohio,Central,Major Market
851,2010-11-01,Coffee,Amaretto,Regular,33,79,138,59,46,19,50,50,80,130,Ohio,Central,Major Market
852,2011-01-01,Coffee,Amaretto,Regular,53,80,157,60,48,19,50,60,80,140,Ohio,Central,Major Market
853,2011-02-01,Coffee,Amaretto,Regular,49,80,149,60,47,19,50,60,80,140,Ohio,Central,Major Market
854,2011-02-01,Coffee,Columbian,Regular,56,76,136,52,38,16,50,50,80,130,Ohio,Central,Major Market
855,2011-03-01,Coffee,Columbian,Regular,52,72,129,49,37,15,40,50,70,120,Ohio,Central,Major Market
856,2011-04-01,Coffee,Columbian,Regular,40,64,114,43,37,13,40,40,70,110,Ohio,Central,Major Market
857,2011-08-01,Coffee,Columbian,Regular,26,51,84,34,30,10,30,30,50,80,Ohio,Central,Major Market
858,2011-12-01,Coffee,Columbian,Regular,36,60,108,41,36,13,20,40,50,90,Ohio,Central,Major Market
859,2010-07-01,Coffee,Decaf Irish Cream,Decaf,-9,56,95,39,65,36,0,40,50,90,Ohio,Central,Major Market
860,2011-03-01,Espresso,Decaf Espresso,Decaf,22,71,137,58,56,22,40,60,90,150,Ohio,Central,Major Market
861,2010-02-01,Herbal Tea,Chamomile,Decaf,17,34,56,22,17,6,30,10,30,40,Ohio,Central,Major Market
862,2010-08-01,Herbal Tea,Lemon,Decaf,16,33,55,22,17,6,30,10,30,40,Ohio,Central,Major Market
863,2010-12-01,Herbal Tea,Lemon,Decaf,29,49,82,33,20,9,30,30,40,70,Ohio,Central,Major Market
864,2011-04-01,Herbal Tea,Lemon,Decaf,39,45,80,30,19,8,40,20,40,60,Ohio,Central,Major Market
865,2010-11-01,Tea,Darjeeling,Regular,62,119,197,78,57,25,60,60,100,160,Ohio,Central,Major Market
866,2011-06-01,Tea,Darjeeling,Regular,137,167,276,111,63,36,90,90,150,240,Ohio,Central,Major Market
867,2010-08-01,Tea,Earl Grey,Regular,103,161,277,116,58,35,100,90,150,240,Ohio,Central,Major Market
868,2010-02-01,Coffee,Columbian,Regular,34,56,94,38,22,10,60,40,70,110,Louisiana,South,Small Market
869,2010-06-01,Coffee,Columbian,Regular,40,64,107,43,24,12,60,50,80,130,Louisiana,South,Small Market
870,2011-01-01,Coffee,Columbian,Regular,47,51,95,34,22,9,50,40,60,100,Louisiana,South,Small Market
871,2011-03-01,Coffee,Columbian,Regular,43,49,87,33,20,9,50,40,60,100,Louisiana,South,Small Market
872,2011-07-01,Coffee,Columbian,Regular,50,59,98,40,21,11,50,50,70,120,Louisiana,South,Small Market
873,2011-10-01,Coffee,Columbian,Regular,70,71,127,48,24,13,80,70,90,160,Louisiana,South,Small Market
874,2011-05-01,Coffee,Decaf Irish Cream,Decaf,72,77,129,53,23,14,80,60,100,160,Louisiana,South,Small Market
875,2011-12-01,Coffee,Decaf Irish Cream,Decaf,46,51,91,34,20,9,50,40,60,100,Louisiana,South,Small Market
876,2010-01-01,Espresso,Caffe Mocha,Regular,70,113,180,67,43,20,80,50,100,150,Louisiana,South,Small Market
877,2010-08-01,Espresso,Caffe Mocha,Regular,41,79,126,47,38,14,40,40,60,100,Louisiana,South,Small Market
878,2011-06-01,Espresso,Caffe Mocha,Regular,57,78,124,47,34,14,40,40,60,100,Louisiana,South,Small Market
879,2011-09-01,Espresso,Caffe Mocha,Regular,79,94,161,57,41,17,60,40,80,120,Louisiana,South,Small Market
880,2010-01-01,Espresso,Decaf Espresso,Decaf,48,89,150,61,41,19,50,50,70,120,Louisiana,South,Small Market
881,2011-01-01,Espresso,Decaf Espresso,Decaf,75,89,168,61,43,19,50,50,70,120,Louisiana,South,Small Market
882,2011-09-01,Espresso,Decaf Espresso,Decaf,46,67,120,46,36,14,40,30,60,90,Louisiana,South,Small Market
883,2011-11-01,Espresso,Decaf Espresso,Decaf,50,71,128,49,37,15,30,30,60,90,Louisiana,South,Small Market
884,2010-01-01,Herbal Tea,Chamomile,Decaf,35,63,112,49,28,16,40,40,60,100,Louisiana,South,Small Market
885,2010-02-01,Herbal Tea,Chamomile,Decaf,35,63,112,49,28,16,40,40,60,100,Louisiana,South,Small Market
886,2010-03-01,Herbal Tea,Chamomile,Decaf,34,62,110,48,28,15,40,40,60,100,Louisiana,South,Small Market
887,2010-11-01,Herbal Tea,Chamomile,Decaf,85,130,231,101,45,33,80,90,120,210,Louisiana,South,Small Market
888,2011-06-01,Herbal Tea,Chamomile,Decaf,50,63,110,48,25,15,40,40,60,100,Louisiana,South,Small Market
889,2011-07-01,Herbal Tea,Chamomile,Decaf,44,60,105,46,26,15,40,40,60,100,Louisiana,South,Small Market
890,2011-09-01,Herbal Tea,Chamomile,Decaf,82,90,169,69,35,22,60,60,90,150,Louisiana,South,Small Market
891,2010-04-01,Herbal Tea,Lemon,Decaf,35,98,178,80,63,30,50,70,100,170,Louisiana,South,Small Market
892,2010-05-01,Herbal Tea,Lemon,Decaf,33,96,173,77,63,29,40,70,90,160,Louisiana,South,Small Market
893,2010-11-01,Herbal Tea,Lemon,Decaf,38,102,184,82,64,31,40,70,100,170,Louisiana,South,Small Market
894,2011-04-01,Herbal Tea,Lemon,Decaf,52,98,190,80,63,30,50,70,100,170,Louisiana,South,Small Market
895,2011-05-01,Herbal Tea,Lemon,Decaf,46,96,171,77,59,29,40,70,90,160,Louisiana,South,Small Market
896,2011-11-01,Herbal Tea,Lemon,Decaf,56,102,196,82,64,31,40,70,100,170,Louisiana,South,Small Market
897,2011-08-01,Espresso,Caffe Latte,Regular,-10,61,104,44,63,39,10,30,60,90,Louisiana,South,Small Market
898,2011-04-01,Coffee,Columbian,Regular,589,451,553,68,54,22,400,60,430,490,Massachusetts,East,Major Market
899,2010-07-01,Tea,Green Tea,Regular,9,26,44,18,17,5,20,10,30,40,Massachusetts,East,Major Market
900,2010-08-01,Espresso,Caffe Mocha,Regular,6,68,105,37,62,33,20,30,70,100,Massachusetts,East,Major Market
901,2010-12-01,Espresso,Caffe Mocha,Regular,-20,52,99,47,72,42,-10,40,50,90,Massachusetts,East,Major Market
902,2011-04-01,Espresso,Caffe Mocha,Regular,-18,65,125,52,77,47,10,40,70,110,Massachusetts,East,Major Market
903,2011-08-01,Espresso,Caffe Mocha,Regular,8,68,104,37,58,33,20,30,70,100,Massachusetts,East,Major Market
904,2011-11-01,Espresso,Caffe Mocha,Regular,-12,68,128,52,76,47,0,50,60,110,Massachusetts,East,Major Market
905,2010-01-01,Herbal Tea,Lemon,Decaf,17,72,130,58,55,22,30,40,60,100,Massachusetts,East,Major Market
906,2010-08-01,Herbal Tea,Lemon,Decaf,9,60,109,49,51,18,20,30,50,80,Massachusetts,East,Major Market
907,2011-10-01,Herbal Tea,Lemon,Decaf,19,66,128,54,53,20,20,30,30,60,Massachusetts,East,Major Market
908,2010-09-01,Tea,Darjeeling,Regular,23,43,72,29,20,8,30,30,40,70,Massachusetts,East,Major Market
909,2010-11-01,Tea,Darjeeling,Regular,31,52,88,36,21,10,40,30,60,90,Massachusetts,East,Major Market
910,2010-05-01,Espresso,Regular Espresso,Regular,84,149,298,149,65,41,100,140,150,290,Massachusetts,East,Major Market
911,2010-06-01,Espresso,Regular Espresso,Regular,83,149,298,149,66,41,100,140,150,290,Massachusetts,East,Major Market
912,2011-07-01,Espresso,Regular Espresso,Regular,112,146,288,145,60,40,100,130,150,280,Massachusetts,East,Major Market
913,2010-11-01,Coffee,Columbian,Regular,236,374,623,249,138,87,230,220,340,560,New York,East,Major Market
914,2010-01-01,Tea,Green Tea,Regular,54,80,134,54,26,15,70,50,90,140,New York,East,Major Market
915,2011-02-01,Tea,Green Tea,Regular,117,112,201,77,33,21,90,80,120,200,New York,East,Major Market
916,2011-06-01,Tea,Green Tea,Regular,137,136,228,94,34,26,120,90,150,240,New York,East,Major Market
917,2010-07-01,Espresso,Caffe Mocha,Regular,-266,-85,77,162,181,147,-240,150,-80,70,New York,East,Major Market
918,2010-11-01,Espresso,Caffe Mocha,Regular,-202,-60,61,121,142,109,-190,110,-60,50,New York,East,Major Market
919,2011-07-01,Espresso,Caffe Mocha,Regular,-367,-85,76,162,168,147,-240,150,-80,70,New York,East,Major Market
920,2011-03-01,Herbal Tea,Mint,Decaf,-177,-32,194,214,87,66,-80,160,-20,140,New York,East,Major Market
921,2010-01-01,Tea,Darjeeling,Regular,101,139,234,95,38,26,120,100,150,250,New York,East,Major Market
922,2010-09-01,Tea,Darjeeling,Regular,106,145,245,100,39,28,130,100,160,260,New York,East,Major Market
923,2011-02-01,Tea,Darjeeling,Regular,148,137,247,95,37,26,120,100,150,250,New York,East,Major Market
924,2011-03-01,Tea,Darjeeling,Regular,151,139,249,95,37,26,120,100,150,250,New York,East,Major Market
925,2011-04-01,Tea,Earl Grey,Regular,141,132,238,91,37,25,120,90,150,240,New York,East,Major Market
926,2011-06-01,Tea,Earl Grey,Regular,167,163,274,113,39,31,140,110,180,290,New York,East,Major Market
927,2011-03-01,Espresso,Regular Espresso,Regular,288,284,557,239,90,66,210,220,290,510,New York,East,Major Market
928,2010-12-01,Coffee,Columbian,Regular,390,443,510,67,53,22,360,60,390,450,Massachusetts,East,Major Market
929,2011-05-01,Coffee,Columbian,Regular,599,487,546,64,49,21,430,60,460,520,Massachusetts,East,Major Market
930,2011-12-01,Coffee,Columbian,Regular,579,443,543,67,53,22,360,60,390,450,Massachusetts,East,Major Market
931,2010-11-01,Tea,Green Tea,Regular,29,48,80,32,19,8,40,30,50,80,Massachusetts,East,Major Market
932,2011-06-01,Tea,Green Tea,Regular,14,26,44,18,15,5,20,10,30,40,Massachusetts,East,Major Market
933,2010-06-01,Espresso,Caffe Mocha,Regular,-3,67,111,44,70,40,10,40,60,100,Massachusetts,East,Major Market
934,2011-04-01,Tea,Darjeeling,Regular,39,45,80,30,19,8,40,30,50,80,Massachusetts,East,Major Market
935,2011-11-01,Tea,Darjeeling,Regular,46,52,94,36,21,10,40,30,60,90,Massachusetts,East,Major Market
936,2010-04-01,Espresso,Regular Espresso,Regular,94,163,325,162,69,45,100,150,160,310,Massachusetts,East,Major Market
937,2010-12-01,Espresso,Regular Espresso,Regular,87,153,306,153,66,42,80,150,140,290,Massachusetts,East,Major Market
938,2011-09-01,Coffee,Columbian,Regular,128,150,265,99,64,32,100,90,140,230,Florida,East,Major Market
939,2011-02-01,Coffee,Decaf Irish Cream,Decaf,105,120,220,86,49,26,70,80,110,190,Florida,East,Major Market
940,2011-02-01,Espresso,Decaf Espresso,Decaf,76,103,192,77,52,25,60,70,100,170,Florida,East,Major Market
941,2011-03-01,Herbal Tea,Chamomile,Decaf,52,63,119,49,28,16,30,30,50,80,Florida,East,Major Market
942,2011-07-01,Herbal Tea,Chamomile,Decaf,50,65,114,50,27,16,30,30,50,80,Florida,East,Major Market
943,2011-07-01,Herbal Tea,Lemon,Decaf,26,74,132,59,51,22,30,40,60,100,Florida,East,Major Market
944,2011-02-01,Herbal Tea,Mint,Decaf,62,84,164,70,42,21,50,50,70,120,Florida,East,Major Market
945,2010-05-01,Tea,Darjeeling,Regular,32,53,89,36,21,10,40,30,60,90,Florida,East,Major Market
946,2010-11-01,Tea,Darjeeling,Regular,23,42,70,28,19,7,40,20,50,70,Florida,East,Major Market
947,2011-11-01,Tea,Darjeeling,Regular,34,42,75,28,19,7,40,20,50,70,Florida,East,Major Market
948,2010-09-01,Coffee,Columbian,Regular,56,99,167,68,43,21,80,80,120,200,Washington,West,Small Market
949,2011-02-01,Coffee,Columbian,Regular,65,84,151,58,40,18,70,70,100,170,Washington,West,Small Market
950,2011-10-01,Coffee,Columbian,Regular,83,99,178,68,43,21,110,90,140,230,Washington,West,Small Market
951,2011-12-01,Coffee,Columbian,Regular,86,104,188,72,46,23,80,80,120,200,Washington,West,Small Market
952,2010-07-01,Coffee,Decaf Irish Cream,Decaf,31,173,297,124,142,112,100,150,220,370,Washington,West,Small Market
953,2010-09-01,Coffee,Decaf Irish Cream,Decaf,16,130,223,93,114,84,60,110,160,270,Washington,West,Small Market
954,2011-04-01,Coffee,Decaf Irish Cream,Decaf,25,132,242,95,115,86,70,110,170,280,Washington,West,Small Market
955,2011-08-01,Coffee,Decaf Irish Cream,Decaf,47,184,314,133,140,120,100,160,230,390,Washington,West,Small Market
956,2010-01-01,Tea,Green Tea,Regular,8,105,180,75,97,68,20,40,80,120,Washington,West,Small Market
957,2010-06-01,Tea,Green Tea,Regular,-3,75,128,53,78,48,0,30,50,80,Washington,West,Small Market
958,2010-12-01,Tea,Green Tea,Regular,-3,76,131,55,79,49,-10,40,50,90,Washington,West,Small Market
959,2011-03-01,Tea,Green Tea,Regular,0,87,160,63,87,57,10,40,60,100,Washington,West,Small Market
960,2011-07-01,Tea,Green Tea,Regular,-7,66,112,47,66,42,0,30,40,70,Washington,West,Small Market
961,2011-03-01,Espresso,Caffe Mocha,Regular,18,66,128,54,54,20,20,50,60,110,Washington,West,Small Market
962,2011-05-01,Espresso,Caffe Mocha,Regular,22,72,129,58,52,22,20,50,70,120,Washington,West,Small Market
963,2011-06-01,Espresso,Caffe Mocha,Regular,25,74,132,59,52,22,20,50,70,120,Washington,West,Small Market
964,2011-07-01,Espresso,Caffe Mocha,Regular,25,74,132,59,52,22,20,50,70,120,Washington,West,Small Market
965,2011-08-01,Espresso,Caffe Mocha,Regular,28,77,139,63,53,23,20,60,70,130,Washington,West,Small Market
966,2011-09-01,Espresso,Caffe Mocha,Regular,34,82,159,67,59,25,30,60,80,140,Washington,West,Small Market
967,2011-07-01,Espresso,Decaf Espresso,Decaf,77,103,187,86,44,26,70,80,100,180,Washington,West,Small Market
968,2011-10-01,Espresso,Decaf Espresso,Decaf,71,94,185,80,46,24,80,60,90,150,Washington,West,Small Market
969,2011-12-01,Espresso,Decaf Espresso,Decaf,76,96,188,80,45,24,60,70,100,170,Washington,West,Small Market
970,2010-08-01,Herbal Tea,Chamomile,Decaf,75,135,225,90,60,29,80,70,120,190,Washington,West,Small Market
971,2011-03-01,Herbal Tea,Chamomile,Decaf,171,186,329,123,71,40,120,100,170,270,Washington,West,Small Market
972,2011-10-01,Herbal Tea,Chamomile,Decaf,171,188,334,125,73,41,130,90,160,250,Washington,West,Small Market
973,2010-01-01,Herbal Tea,Lemon,Decaf,30,51,85,34,21,9,50,20,50,70,Washington,West,Small Market
974,2010-03-01,Herbal Tea,Lemon,Decaf,29,49,82,33,20,9,50,20,50,70,Washington,West,Small Market
975,2010-09-01,Herbal Tea,Lemon,Decaf,47,71,119,48,24,13,50,40,60,100,Washington,West,Small Market
976,2011-01-01,Herbal Tea,Lemon,Decaf,47,51,95,34,22,9,50,20,50,70,Washington,West,Small Market
977,2011-04-01,Herbal Tea,Lemon,Decaf,45,51,92,35,21,9,40,30,40,70,Washington,West,Small Market
